Timestamp,market-price
2018-09-15 00:00:00,6487.12
2018-09-16 00:00:00,6522.39
2018-09-17 00:00:00,6497.37
2018-09-18 00:00:00,6253.99
2018-09-19 00:00:00,6342.39
2018-09-20 00:00:00,6389.3
2018-09-21 00:00:00,6496.02
2018-09-22 00:00:00,6756.12
2018-09-23 00:00:00,6718.7
2018-09-24 00:00:00,6705.66
2018-09-25 00:00:00,6583.45
2018-09-26 00:00:00,6432.71
2018-09-27 00:00:00,6459.35
2018-09-28 00:00:00,6686.08
2018-09-29 00:00:00,6628.66
2018-09-30 00:00:00,6592.64
2018-10-01 00:00:00,6611.02
2018-10-02 00:00:00,6586.58
2018-10-03 00:00:00,6521.31
2018-10-04 00:00:00,6483.73
2018-10-05 00:00:00,6568.14
2018-10-06 00:00:00,6620.63
2018-10-07 00:00:00,6573.62
2018-10-08 00:00:00,6588.93
2018-10-09 00:00:00,6641.33
2018-10-10 00:00:00,6626.85
2018-10-11 00:00:00,6581.07
2018-10-12 00:00:00,6207.79
2018-10-13 00:00:00,6247
2018-10-14 00:00:00,6265.9
2018-10-15 00:00:00,6265.16
2018-10-16 00:00:00,6599.17
2018-10-17 00:00:00,6616.45
2018-10-18 00:00:00,6595.51
2018-10-19 00:00:00,6509.61
2018-10-20 00:00:00,6463.58
2018-10-21 00:00:00,6504.92
2018-10-22 00:00:00,6504.78
2018-10-23 00:00:00,6493.89
2018-10-24 00:00:00,6476.85
2018-10-25 00:00:00,6489.77
2018-10-26 00:00:00,6466.29
2018-10-27 00:00:00,6472.17
2018-10-28 00:00:00,6457.21
2018-10-29 00:00:00,6449.37
2018-10-30 00:00:00,6307.51
2018-10-31 00:00:00,6301.61
2018-11-01 00:00:00,6338.78
2018-11-02 00:00:00,6373.08
2018-11-03 00:00:00,6390.42
2018-11-04 00:00:00,6361.3
2018-11-05 00:00:00,6454
2018-11-06 00:00:00,6437.76
2018-11-07 00:00:00,6477.84
2018-11-08 00:00:00,6536.83
2018-11-09 00:00:00,6444.97
2018-11-10 00:00:00,6377.4
2018-11-11 00:00:00,6388.46
2018-11-12 00:00:00,6408.53
2018-11-13 00:00:00,6384.75
2018-11-14 00:00:00,6358.25
2018-11-15 00:00:00,5756.77
2018-11-16 00:00:00,5658.73
2018-11-17 00:00:00,5592.58
2018-11-18 00:00:00,5572.44
2018-11-19 00:00:00,5616.29
2018-11-20 00:00:00,4848.78
2018-11-21 00:00:00,4491.98
2018-11-22 00:00:00,4616.44
2018-11-23 00:00:00,4312.31
2018-11-24 00:00:00,4352.98
2018-11-25 00:00:00,3862.01
2018-11-26 00:00:00,4010.72
2018-11-27 00:00:00,3793.35
2018-11-28 00:00:00,3828.45
2018-11-29 00:00:00,4256.55
2018-11-30 00:00:00,4278.77
2018-12-01 00:00:00,4013.52
2018-12-02 00:00:00,4188.09
